address,db_time,uptime_ms,bmp085_temp_decic,bmp085_press_pa,batt_mv,panel_mv,apogee_mv,apogee_w_m2,panel_ma
104,2013-07-03 22:15:35.680119-10,2353209,301,101051,4081,156,326,1630,16950
104,2013-07-03 22:15:50.4951-10,2368009,300,101060,4095,136,328,1640,17060
104,2013-07-03 22:16:05.301134-10,2382809,300,101052,4076,136,327,1635,16750
104,2013-07-03 22:16:20.112122-10,2397609,300,101056,4056,68,328,1640,17020
104,2013-07-03 22:16:34.922157-10,2412409,300,101054,4056,78,328,1640,17650
104,2013-07-03 22:16:49.734148-10,2427209,300,101055,4076,58,326,1630,17490
104,2013-07-03 22:17:04.545173-10,2442009,299,101058,4086,78,327,1635,17020
104,2013-07-03 22:17:19.360176-10,2456809,299,101055,4056,215,328,1640,17130
104,2013-07-03 22:17:34.167191-10,2471609,299,101051,4066,205,328,1640,16800
104,2013-07-03 22:17:48.981175-10,2486409,299,101056,4046,205,328,1640,16730
104,2013-07-03 22:18:03.790206-10,2501209,299,101049,4056,195,328,1640,16490
104,2013-07-03 22:18:18.599193-10,2516009,298,101056,4037,136,328,1640,17190
104,2013-07-03 22:18:33.415227-10,2530809,298,101061,4086,107,328,1640,17140
104,2013-07-03 22:18:48.22521-10,2545609,298,101060,4076,107,328,1640,17550
104,2013-07-03 22:19:03.036247-10,2560409,297,101063,4090,166,326,1630,16980
102,2013-07-03 22:19:04.640198-10,14809,249,100961,4169,645,23,115,16330
104,2013-07-03 22:19:17.849234-10,2575209,297,101066,4066,166,327,1635,16950
102,2013-07-03 22:19:18.887195-10,29609,249,100964,4144,566,22,110,16880
104,2013-07-03 22:19:32.654261-10,2590009,297,101055,4066,136,326,1630,17230
102,2013-07-03 22:19:33.668204-10,44409,249,100968,4164,478,17,85,17630
104,2013-07-03 22:19:47.467254-10,2604809,297,101061,4081,127,328,1640,18130
102,2013-07-03 22:19:48.446218-10,59209,250,100961,4149,400,17,85,17270
104,2013-07-03 22:20:02.283284-10,2619609,296,101059,4071,117,327,1635,16860
102,2013-07-03 22:20:03.231222-10,74009,250,100956,4169,371,14,70,15600
104,2013-07-03 22:20:17.089276-10,2634409,296,101067,4066,48,327,1635,16770
104,2013-07-03 22:20:31.907295-10,2649209,296,101061,4081,68,328,1640,18000
102,2013-07-03 22:20:38.976268-10,14800,0,234,4169,234,13,65,16680
104,2013-07-03 22:20:46.710276-10,2664009,295,101066,4090,68,327,1635,16730
102,2013-07-03 22:20:53.562268-10,29600,0,234,4134,215,11,55,16980
104,2013-07-03 22:21:01.521311-10,2678809,295,101053,4071,19,327,1635,17080
102,2013-07-03 22:21:08.347282-10,44400,0,234,4144,205,12,60,16870
104,2013-07-03 22:21:16.332294-10,2693609,295,101052,4090,78,327,1635,16870
102,2013-07-03 22:21:23.123285-10,59200,0,234,4120,273,13,65,15589
104,2013-07-03 22:21:31.145326-10,2708409,295,101059,4071,29,327,1635,17110
102,2013-07-03 22:21:37.903305-10,74000,0,234,4130,273,13,65,15689
104,2013-07-03 22:21:45.960323-10,2723209,294,101058,4066,48,326,1630,16970
102,2013-07-03 22:21:52.695305-10,88800,0,234,4144,400,14,70,17090
104,2013-07-03 22:22:00.763341-10,2738009,294,101061,4100,48,327,1635,17020
102,2013-07-03 22:22:07.485322-10,103600,0,234,4149,371,16,80,15760
104,2013-07-03 22:22:15.575337-10,2752809,294,101053,4071,19,328,1640,17310
102,2013-07-03 22:22:22.254325-10,118400,0,234,4115,322,15,75,16360
104,2013-07-03 22:22:30.389376-10,2767609,294,101055,4037,19,326,1630,17260
102,2013-07-03 22:22:37.039341-10,133200,0,234,4134,322,15,75,16170
104,2013-07-03 22:22:45.197353-10,2782409,294,101050,4090,19,327,1635,16840
102,2013-07-03 22:22:51.822346-10,148000,0,234,4110,283,14,70,15789
104,2013-07-03 22:23:00.016381-10,2797209,293,101050,4086,19,328,1640,17050
102,2013-07-03 22:23:06.600369-10,162800,0,234,4110,263,14,70,16080
104,2013-07-03 22:23:14.820373-10,2812009,293,101055,4071,19,326,1630,17280
102,2013-07-03 22:23:21.382361-10,177600,0,234,4169,283,14,70,15770
104,2013-07-03 22:23:29.629414-10,2826809,293,101057,4051,9,328,1640,17520
102,2013-07-03 22:23:36.161392-10,192400,0,234,4139,244,13,65,15600
104,2013-07-03 22:23:44.441395-10,2841609,292,101052,4095,0,326,1630,17250
102,2013-07-03 22:23:50.94539-10,207200,0,234,4130,439,18,90,16089
104,2013-07-03 22:23:59.252423-10,2856409,292,101054,4086,19,328,1640,17370
102,2013-07-03 22:24:05.729427-10,222000,0,234,4149,586,22,110,15850
104,2013-07-03 22:24:14.063406-10,2871209,292,101049,4090,9,328,1640,17220
102,2013-07-03 22:24:20.5204-10,236800,0,234,4139,1436,42,210,15670
104,2013-07-03 22:24:28.873451-10,2886009,292,101051,4081,9,328,1640,17360
102,2013-07-03 22:24:35.294416-10,251600,0,234,4164,1231,37,185,15580
104,2013-07-03 22:24:43.685433-10,2900809,291,101051,4046,0,326,1630,17150
102,2013-07-03 22:24:50.080419-10,266400,0,234,4164,1466,44,220,15970
104,2013-07-03 22:24:58.502454-10,2915609,291,101058,4071,9,328,1640,17390
102,2013-07-03 22:25:04.859449-10,281200,0,234,4120,1749,51,255,15750
104,2013-07-03 22:25:13.311439-10,2930409,291,101057,4037,87,326,1630,17580
102,2013-07-03 22:25:19.643439-10,296000,0,234,4169,1603,47,235,15950
104,2013-07-03 22:25:28.124475-10,2945209,291,101052,4061,205,327,1635,17300
102,2013-07-03 22:25:34.635445-10,310800,0,234,4139,1739,51,255,16050
104,2013-07-03 22:25:42.930464-10,2960009,291,101054,4071,273,328,1640,17120
102,2013-07-03 22:25:49.208452-10,325600,0,234,4115,1436,43,215,16370
104,2013-07-03 22:25:57.749523-10,2974809,290,101051,4042,195,327,1635,16960
102,2013-07-03 22:26:03.995484-10,340400,0,234,4120,1182,37,185,16840
104,2013-07-03 22:26:12.561501-10,2989609,290,101056,4095,136,326,1630,17430
102,2013-07-03 22:26:18.769492-10,355200,0,234,4115,1006,33,165,17250
104,2013-07-03 22:26:27.371505-10,3004409,290,101052,4081,97,328,1640,17510
102,2013-07-03 22:26:33.549507-10,370000,0,234,4134,840,30,150,15830
104,2013-07-03 22:26:42.173539-10,3019209,290,101055,4061,78,327,1635,16940
102,2013-07-03 22:26:48.334491-10,384800,0,234,4139,703,26,130,16120
104,2013-07-03 22:26:56.984529-10,3034009,290,101061,4066,58,326,1630,17050
102,2013-07-03 22:27:03.118521-10,399600,0,234,4139,576,23,115,15989
104,2013-07-03 22:27:11.795518-10,3048809,289,101060,4037,29,326,1630,17280
102,2013-07-03 22:27:17.895512-10,414400,0,234,4134,508,22,110,15730
104,2013-07-03 22:27:26.608542-10,3063609,289,101052,4061,29,326,1630,17600
102,2013-07-03 22:27:32.681536-10,429200,0,234,4125,410,21,105,15720
104,2013-07-03 22:27:41.416534-10,3078409,289,101062,4037,19,328,1640,17720
102,2013-07-03 22:27:47.456527-10,444000,0,234,4125,351,18,90,16000
104,2013-07-03 22:27:56.226565-10,3093209,289,101059,4081,19,328,1640,17210
102,2013-07-03 22:28:02.238543-10,458800,0,234,4164,293,18,90,15800
104,2013-07-03 22:28:11.037585-10,3108009,289,101059,4086,9,328,1640,17290
102,2013-07-03 22:28:17.02454-10,473600,0,234,4110,224,17,85,15520
104,2013-07-03 22:28:25.845611-10,3122809,288,101060,4042,0,328,1640,17010
102,2013-07-03 22:28:31.803558-10,488400,0,234,4130,195,16,80,15789
104,2013-07-03 22:28:40.658569-10,3137609,288,101053,4066,0,326,1630,17030
102,2013-07-03 22:28:46.587559-10,503200,0,234,4134,166,15,75,16089
104,2013-07-03 22:28:55.473611-10,3152409,288,101058,4081,19,328,1640,17160
102,2013-07-03 22:29:01.365603-10,518000,0,234,4134,127,15,75,15980
104,2013-07-03 22:29:10.279595-10,3167209,288,101054,4056,0,327,1635,16860
102,2013-07-03 22:29:16.151586-10,532800,0,234,4159,127,15,75,15789
104,2013-07-03 22:29:25.090597-10,3182009,288,101052,4061,0,326,1630,17190
102,2013-07-03 22:29:30.9356-10,547600,0,234,4144,107,15,75,15810
104,2013-07-03 22:29:39.904611-10,3196809,288,101055,4081,0,328,1640,17550
102,2013-07-03 22:29:45.712603-10,562400,0,234,4120,97,15,75,16870
104,2013-07-03 22:29:54.709641-10,3211609,287,101052,4066,0,328,1640,17430
102,2013-07-03 22:30:00.496626-10,577200,0,234,4149,78,15,75,16000
104,2013-07-03 22:30:09.523628-10,3226409,287,101060,4086,0,327,1635,17160
102,2013-07-03 22:30:15.276613-10,592000,0,234,4134,78,16,80,15530
104,2013-07-03 22:30:24.334632-10,3241209,287,101064,4076,9,328,1640,17190
102,2013-07-03 22:30:30.062467-10,606800,0,234,4134,58,16,80,15620
104,2013-07-03 22:30:39.145681-10,3256009,287,101061,4071,0,328,1640,16900
102,2013-07-03 22:30:44.843639-10,621600,0,234,4120,29,16,80,15760
104,2013-07-03 22:30:53.954662-10,3270809,287,101058,4090,0,327,1635,16790
102,2013-07-03 22:30:59.6217-10,636400,0,234,4134,29,16,80,16100
104,2013-07-03 22:31:08.768678-10,3285609,287,101059,4066,0,328,1640,17060
102,2013-07-03 22:31:14.404647-10,651200,0,234,4159,9,16,80,15820
104,2013-07-03 22:31:23.580666-10,3300409,286,101059,4037,0,326,1630,17130
102,2013-07-03 22:31:29.191683-10,666000,0,234,4164,9,15,75,15750
104,2013-07-03 22:31:38.388683-10,3315209,286,101058,4086,0,328,1640,16840
102,2013-07-03 22:31:43.969707-10,680800,0,234,4134,39,16,80,15839
104,2013-07-03 22:31:53.197712-10,3330009,286,101065,4071,0,326,1630,17750
102,2013-07-03 22:31:58.752701-10,695600,0,234,4125,19,16,80,15610
104,2013-07-03 22:32:08.012729-10,3344809,286,101065,4086,0,326,1630,17430
102,2013-07-03 22:32:13.534685-10,710400,0,234,4115,9,15,75,16089
104,2013-07-03 22:32:22.822721-10,3359609,286,101060,4081,9,326,1630,16880
102,2013-07-03 22:32:28.318724-10,725200,0,234,4149,19,16,80,16220
104,2013-07-03 22:32:37.638722-10,3374409,285,101061,4061,9,328,1640,17310
102,2013-07-03 22:32:43.093729-10,740000,0,234,4134,0,16,80,15760
104,2013-07-03 22:32:52.451719-10,3389209,285,101068,4056,0,328,1640,17410
102,2013-07-03 22:32:57.880739-10,754800,0,234,4120,19,16,80,16200
104,2013-07-03 22:33:07.255754-10,3404009,285,101069,4061,9,326,1630,17080
102,2013-07-03 22:33:12.661759-10,769600,0,234,4149,19,16,80,16089
104,2013-07-03 22:33:22.063758-10,3418809,285,101067,4086,9,327,1635,17310
102,2013-07-03 22:33:27.446759-10,784400,0,234,4115,0,16,80,16450
104,2013-07-03 22:33:36.874756-10,3433609,285,101060,4061,0,326,1630,17000
102,2013-07-03 22:33:42.226741-10,799200,0,234,4130,0,16,80,16060
104,2013-07-03 22:33:51.686761-10,3448409,285,101064,4066,9,327,1635,17760
102,2013-07-03 22:33:57.014593-10,814000,0,234,4149,19,16,80,16050
104,2013-07-03 22:34:06.498792-10,3463209,285,101067,4051,9,327,1635,17590
102,2013-07-03 22:34:11.789781-10,828800,0,234,4149,0,17,85,15980
104,2013-07-03 22:34:21.310799-10,3478009,284,101059,4037,0,328,1640,17430
102,2013-07-03 22:34:26.570794-10,843600,0,234,4134,0,16,80,16660
104,2013-07-03 22:34:36.128807-10,3492809,284,101055,4061,0,328,1640,17150
102,2013-07-03 22:34:41.359776-10,858400,0,234,4134,0,16,80,16289
104,2013-07-03 22:34:50.925839-10,3507609,284,101059,4042,9,328,1640,17340
102,2013-07-03 22:34:56.143818-10,873200,0,234,4110,19,17,85,16000
104,2013-07-03 22:35:05.739828-10,3522409,284,101059,4061,0,328,1640,17420
102,2013-07-03 22:35:10.917819-10,888000,0,234,4164,0,17,85,15980
104,2013-07-03 22:35:20.548831-10,3537209,284,101060,4051,9,328,1640,17390
102,2013-07-03 22:35:25.700792-10,902800,0,234,4134,0,17,85,16430
104,2013-07-03 22:35:35.362869-10,3552009,284,101064,4081,0,326,1630,17520
102,2013-07-03 22:35:40.491812-10,917600,0,234,4144,0,17,85,16230
104,2013-07-03 22:35:50.17388-10,3566809,283,101058,4066,9,328,1640,17450
102,2013-07-03 22:35:55.259815-10,932400,0,234,4144,0,18,90,15989
104,2013-07-03 22:36:04.983877-10,3581609,283,101063,4027,9,328,1640,17300
102,2013-07-03 22:36:10.055826-10,947200,0,234,4149,0,17,85,16250
104,2013-07-03 22:36:19.803866-10,3596409,283,101064,4061,0,328,1640,16920
102,2013-07-03 22:36:24.833857-10,962000,0,234,4144,0,17,85,16110
104,2013-07-03 22:36:34.605929-10,3611209,283,101063,4086,0,326,1630,17100
102,2013-07-03 22:36:39.61485-10,976800,0,234,4110,0,17,85,16189
104,2013-07-03 22:36:49.416896-10,3626009,283,101063,4061,9,326,1630,17380
102,2013-07-03 22:36:54.399853-10,991600,0,234,4105,0,17,85,16089
104,2013-07-03 22:37:04.228901-10,3640809,283,101066,4051,9,326,1630,17710
102,2013-07-03 22:37:09.175864-10,1006400,0,234,4134,0,17,85,16180
104,2013-07-03 22:37:19.033919-10,3655609,283,101060,4037,0,328,1640,16790
102,2013-07-03 22:37:23.959872-10,1021200,0,234,4134,0,17,85,16060
104,2013-07-03 22:37:33.847918-10,3670409,283,101056,4056,0,326,1630,16610
102,2013-07-03 22:37:38.74289-10,1036000,0,234,4134,0,16,80,16250
104,2013-07-03 22:37:48.658909-10,3685209,283,101057,4037,0,328,1640,17560
102,2013-07-03 22:37:53.525917-10,1050800,0,234,4149,0,17,85,16360
104,2013-07-03 22:38:03.471938-10,3700009,282,101059,4081,0,328,1640,17620
102,2013-07-03 22:38:08.30993-10,1065600,0,234,4105,0,17,85,16139
104,2013-07-03 22:38:18.280923-10,3714809,282,101057,4027,0,328,1640,17120
102,2013-07-03 22:38:23.088903-10,1080400,0,234,4120,0,18,90,16239
104,2013-07-03 22:38:33.089966-10,3729609,282,101063,4027,0,327,1635,17120
102,2013-07-03 22:38:37.875922-10,1095200,0,234,4149,0,17,85,16010
104,2013-07-03 22:38:47.90894-10,3744409,282,101064,4081,0,328,1640,17210
102,2013-07-03 22:38:52.655921-10,1110000,0,234,4144,0,18,90,16470
104,2013-07-03 22:39:02.710976-10,3759209,282,101069,4081,0,327,1635,17400
102,2013-07-03 22:39:07.436943-10,1124800,0,234,4134,0,18,90,16420
104,2013-07-03 22:39:17.530968-10,3774009,282,101066,4037,0,326,1630,17310
102,2013-07-03 22:39:22.218941-10,1139600,0,234,4125,0,17,85,15800
